badge_id,metric_key,threshold,window
CONS_7DAY,streak_any,>=7,Rolling
CONS_28DAY,streak_any,>=28,Rolling
CONS_QTR,active_days_120,>=90,Rolling
CONS_YEAR,active_days_lifetime,>=365,Cumulative
PERF_FIRST,workouts_completed,>=1,Event
PERF_HR,hr75_20min_sessions,>=1,Event
PERF_PB,personal_best_events,>=1,Event
PERF_VO2,vo2_improve_pct,>=10,WeeklyCompare
WELL_WATER,water_goal_days_7,>=7,Weekly
WELL_ZEN,mindset_sessions_7,>=5,Weekly
WELL_SLEEP,sleep_8h_days_7,>=7,Weekly
WELL_MERGE,merge_days_30,>=5,Monthly
COMM_HYPE,comments_given_week,>=5,Weekly
COMM_PARTNER,invited_friend_week_complete,>=1,Rolling
COMM_LEADER,hosted_group_events,>=1,Rolling
COMM_BEACON,mentored_advancements,>=1,Rolling
SEAS_BHM,seasonal_feb_workouts,>=8,Seasonal
ELITE_DIAMOND,elite_contributions_verified,>=3,Rolling
